Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM10,PM25
11/17/2021,38,Ozone,QUAPAW SHELTER,40-115-9004,AQS,38,.,32
11/17/2022,52,PM2.5,,40-115-9007,AQS,31,19,52
11/17/2023,44,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,22,40,44
11/17/2024,52,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,31,17,52
11/18/2021,35,Ozone,QUAPAW SHELTER,40-115-9004,AQS,35,.,24
11/18/2022,29,Ozone,QUAPAW SHELTER,40-115-9004,AQS,29,12,24
11/18/2023,64,PM10,QUAPAW SHELTER,40-115-9004,AQS,33,64,60
11/18/2024,36,Ozone,QUAPAW SHELTER,40-115-9004,AQS,36,7,22
11/19/2021,38,Ozone,QUAPAW SHELTER,40-115-9004,AQS,38,.,34
11/19/2022,39,PM2.5,,40-115-9007,AQS,30,19,39
11/19/2023,57,PM2.5,,40-115-9007,AQS,22,23,57
11/19/2024,13,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,6,13
11/20/2021,43,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,40,.,43
11/20/2022,52,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,32,20,52
11/20/2023,32,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,23,8,32
11/20/2024,7,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,7,7
11/21/2021,52,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,36,.,52
11/21/2022,54,PM2.5,,40-115-9007,AQS,34,24,54
11/21/2023,45,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,20,15,45
11/21/2024,25,PM2.5,,40-115-9007,AQS,.,12,25
11/22/2021,49,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,33,.,49
11/22/2022,58,PM2.5,,40-115-9007,AQS,31,22,58
11/22/2023,27,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,26,12,27
11/22/2024,31,PM2.5,,40-115-9007,AQS,.,19,31
11/23/2021,44,Ozone,QUAPAW SHELTER,40-115-9004,AQS,44,.,43
11/23/2022,59,PM2.5,,40-115-9007,AQS,37,20,59
11/23/2023,33,Ozone,QUAPAW SHELTER,40-115-9004,AQS,33,12,32
11/23/2024,39,PM2.5,,40-115-9007,AQS,.,16,39
11/24/2021,47,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,44,.,47
11/24/2022,48,PM2.5,,40-115-9007,AQS,26,11,48
11/24/2023,35,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,22,12,35
11/24/2024,37,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,.,16,37
11/25/2021,38,PM2.5,QUAPAW SHELTER,40-115-9004,AQS,25,.,38
11/25/2022,65,PM2.5,,40-115-9007,AQS,29,25,65
